koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,28.5742692,143.8315,0.068,4.9427,824.9,2.32,538.0,19.83,97.1,5551.0,4.508,0.812,1
0,0,0,0,13.4471791,132.830555,0.963,3.0454,1428.2,5.24,848.0,122.34,105.3,6276.0,4.405,1.041,1
0,0,0,0,52.09081627,158.744665,0.065,8.6388,2894.1,7.14,592.0,29.07,243.5,6198.0,4.237,1.324,1
0,0,0,0,27.40229859,133.6284,0.022,6.8491,747.5,3.63,734.0,68.46,79.3,6198.0,4.237,1.324,1
0,0,0,0,13.48457668,136.61808,0.011,5.0197,653.5,3.39,929.0,176.29,80.8,6198.0,4.237,1.324,1
0,0,0,0,81.0637895,139.53492,0.584,3.001,476.0,3.01,511.0,16.12,19.4,6198.0,4.237,1.324,1
0,0,0,0,8.925079516,139.71389,0.74,2.6766,977.5,2.36,628.0,36.89,135.8,4728.0,4.628,0.693,1
0,0,0,0,4.75400072,128.547155,0.672,2.5394,748.7,2.0,775.0,85.23,141.4,4728.0,4.628,0.693,1
0,0,0,0,5.660669429,137.416045,0.477,4.6483,737.8,3.24,1115.0,365.53,201.1,5746.0,4.266,1.173,1
0,0,0,0,8.041347775,143.038292,0.26,2.6332,591.0,1.29,507.0,15.59,77.5,3980.0,4.722,0.54,1
0,0,0,0,5.188563677,145.362252,0.179,2.3683,358.7,1.0,586.0,27.95,56.4,3980.0,4.722,0.54,1
0,0,0,0,11.776132317,142.705753,0.54,2.8971,1430.8,2.08,446.0,9.37,163.5,3980.0,4.722,0.54,1
0,0,0,0,13.02493307,138.176157,0.004,4.5706,778.4,2.88,786.0,90.1,119.3,5657.0,4.364,1.046,1
0,0,0,0,22.687155,148.455435,0.023,5.4921,960.0,3.2,653.0,42.95,122.8,5657.0,4.364,1.046,1
